lncRNA	Chromosome	Start	End
AL135905.1	chr6	63571005	63572408
AL135908.1	chr6	50587607	50637205
AL135910.1	chr6	169426420	169452475
AL135923.1	chr9	7930827	7935137
AL135923.2	chr9	7914514	7961224
AL135924.2	chr9	72257336	72257783
AL135925.1	chr10	79825902	79827602
AL135926.1	chr1	168695874	169103276
AL135926.2	chr1	168898633	168902836
AL135934.1	chr11	35579430	35585310
AL135936.1	chr20	19000709	19056796
AL135937.1	chr20	10753278	10765286
AL135960.1	chr1	47225797	47230750
AL135978.2	chr14	67283749	67294073
AL135999.1	chr14	23561097	23568073
AL135999.2	chr14	23530682	23532367
AL135999.3	chr14	23619201	23620012
AL136018.1	chr14	24595723	24657774
AL136038.4	chr14	63598874	63599248
AL136038.5	chr14	63543569	63544664
AL136038.7	chr14	63642035	63665593
AL136040.1	chr14	81221218	81222460
AL136040.2	chr14	81169776	81175400
AL136084.2	chr9	98847172	98872415
AL136084.3	chr9	98943337	98943775
AL136090.1	chr20	19212852	19213477
AL136090.2	chr20	19208652	19212164
AL136096.1	chr6	88047056	88047729
AL136097.2	chr9	92205356	92210158
AL136099.1	chr6	168716606	168723495
AL136102.1	chr20	48120269	48136844
AL136114.1	chr1	177392667	177920152
AL136115.1	chr1	31933020	31933975
AL136115.2	chr1	31851913	31921841
AL136115.3	chr1	31972189	31987034
AL136119.1	chr10	111787233	111989909
AL136129.1	chr6	169097799	169102428
AL136131.2	chr6	43722786	43737834
AL136131.3	chr6	43770429	43770616
AL136140.1	chr6	44513262	44527448
AL136141.1	chr9	130044713	130045081
AL136146.2	chr11	35972428	35989007
AL136162.1	chr6	15243923	15245000
AL136164.1	chr6	71328942	71329806
AL136164.2	chr6	71295173	71417436
AL136169.1	chrX	135037281	135040355
AL136171.2	chr1	231767464	231847706
AL136172.1	chr20	37095785	37097178
AL136181.1	chr10	96292685	96306695
AL136221.1	chr13	113339450	113339958
AL136225.1	chr6	163956299	163960187
AL136234.1	chr1	80534978	80584363
AL136295.17	chr14	24188914	24193106
AL136295.2	chr14	24139445	24140444
AL136295.6	chr14	24198433	24199090
AL136295.7	chr14	24201612	24202811
AL136298.1	chr14	32373337	32417974
AL136301.1	chr13	49792886	49793307
AL136304.1	chr6	43033897	43034405
AL136305.1	chr6	17224243	17281424
AL136307.1	chr6	5851506	5870220
AL136309.2	chr6	4185479	4188950
AL136309.3	chr6	4135423	4146053
AL136317.2	chr9	66014525	66020816
AL136320.1	chr10	11168922	11171376
AL136322.1	chr1	197437976	197447469
AL136359.1	chr13	53193667	53198540
AL136360.2	chr4	2139673	2141058
AL136361.1	chr6	6758276	6759291
AL136366.1	chr9	14317073	14358490
AL136368.1	chr10	110869743	110871594
AL136369.1	chr10	11010164	11011119
AL136369.2	chr10	10960148	10970816
AL136372.2	chr1	188013642	188144768
AL136376.1	chr1	116429049	116433368
AL136379.1	chr1	228119149	228121312
AL136418.3	chr14	31248628	31302739
AL136419.1	chr14	23969931	24051377
AL136419.2	chr14	23875938	23882428
AL136419.3	chr14	24007185	24027782
AL136439.1	chr13	27667395	27680581
AL136441.1	chr13	76552807	76846524
AL136442.1	chr13	79637433	79667344
AL136456.1	chr1	193473224	194198708
AL136460.1	chr20	12305613	12316485
AL136501.1	chr14	87810982	87838339
AL136524.1	chr13	104125930	104134257
AL136526.1	chr13	100537365	100539567
AL136528.1	chr1	3658938	3668772
AL136528.2	chr1	3712200	3714298
AL136531.1	chr20	1361622	1362585
AL136537.1	chr4	37073681	37133849
AL136961.1	chr13	99429211	99432702
AL136962.1	chr13	22040972	22276526
AL136964.1	chr13	107870383	107873372
AL136972.1	chr6	83728055	83736525
AL136979.1	chr9	673478	685555
AL136980.1	chr9	5719021	5720244
AL136981.3	chr9	92805431	92809171
AL136981.4	chr9	92809388	92888693
AL136982.1	chr10	86992406	87010203
AL136982.2	chr10	87009785	87015782
AL136982.3	chr10	87113954	87115523
AL136982.6	chr10	86993432	87024732
AL136982.7	chr10	86970237	86970826
AL136984.1	chr1	167379108	167381000
AL136985.1	chr1	58838448	58851254
AL136985.2	chr1	58812808	58813342
AL136985.3	chr1	58715609	58771295
AL136987.1	chr1	192517190	192538102
AL136988.1	chr1	230280312	230281893
AL136988.2	chr1	230258694	230272100
AL137001.1	chr13	19027837	19028701
AL137001.2	chr13	19074038	19118315
AL137002.1	chr13	113165002	113165183
AL137002.2	chr13	113149432	113154002
AL137003.1	chr6	16764346	16766883
AL137005.1	chr6	163705937	163714306
AL137009.2	chr6	118934770	119182745
AL137017.1	chr9	14395791	14472407
AL137018.1	chr9	74630794	74641758
AL137024.1	chr9	116288618	116318689
AL137025.1	chr10	114764788	114794344
AL137026.1	chr10	44282489	44293998
AL137026.2	chr10	44259602	44261813
AL137026.3	chr10	44296805	44310237
AL137027.1	chr1	30810378	30815553
AL137058.2	chr13	52600042	52642542
AL137060.3	chr13	50125816	50128463
AL137067.3	chr9	99359336	99371887
AL137071.1	chr9	3875584	3878809
AL137076.1	chr1	30140263	30141607
AL137077.2	chr20	62066830	62068437
AL137078.1	chr20	48383323	48384895
AL137078.2	chr20	48406777	48410716
AL137100.3	chr14	56951008	57060715
AL137127.1	chr1	19072110	19075511
AL137129.1	chr14	61734138	61776260
AL137139.2	chr13	99841879	99957167
AL137139.3	chr13	99835813	99841250
AL137140.1	chr13	77569175	77586812
AL137157.1	chr1	172210711	172213499
AL137182.1	chr6	163115691	163137775
AL137186.1	chr10	6025978	6036427
AL137186.2	chr10	5934270	5945900
AL137191.1	chr14	63122888	63178190
AL137220.1	chr6	9124221	9161777
AL137224.1	chr11	34533014	34557924
AL137230.2	chr14	89628921	89642671
AL137230.3	chr14	89412312	89954659
AL137244.1	chr13	75631271	75632135
AL137246.1	chr13	102888858	102889834
AL137246.2	chr13	102903339	102904000
AL137247.2	chr13	32425358	32432954
AL137779.1	chr14	101833435	101839531
AL137779.2	chr14	101796555	101810321
AL137781.1	chr13	80115733	80134368
AL137782.1	chr13	75549773	75807120
AL137785.1	chr14	89013386	89025807
AL137786.1	chr14	96592399	96605974
AL137786.2	chr14	96663791	96681827
AL137786.3	chr14	96749695	96755556
AL137789.1	chr1	207551925	207606555
AL137789.2	chr1	207709024	207711508
AL137796.1	chr1	178651706	178652282
AL137798.1	chr1	16617391	16617729
AL137798.2	chr1	16656879	16667524
AL137800.1	chr1	183613537	183619335
AL137802.1	chr1	16520694	16521796
AL137802.2	chr1	16514645	16515754
AL137802.3	chr1	16515034	16521788
AL137804.1	chr11	31305685	31314548
AL137847.1	chr9	83219288	83238463
AL137847.2	chr9	83272280	83279499
AL137856.1	chr1	113812379	113870159
AL137857.1	chr1	30731693	30733427
AL138478.1	chr14	89156743	89157574
AL138479.2	chr14	53954671	53962234
AL138686.1	chr13	46474246	46493268
AL138689.1	chr13	106506046	106506713
AL138689.2	chr13	106491147	106521630
AL138690.1	chr13	34925834	34928076
AL138694.1	chr13	108335354	108448316
AL138701.2	chr13	105950292	106064069
AL138708.1	chr13	31838752	31846539
AL138716.1	chr6	161435098	161446016
AL138720.1	chr6	14661829	15090170
AL138724.2	chr6	17706257	17707344
AL138731.1	chr6	93070387	93103384
AL138733.1	chr6	151088103	151228447
AL138733.2	chr6	151196681	151197638
AL138740.1	chr6	17092714	17108156
AL138749.1	chr9	80869758	80871295
AL138756.1	chr9	112028570	112039143
AL138759.1	chr10	94577439	94611238
AL138760.1	chr10	49419277	49472903
AL138762.2	chr10	100911103	100912739
AL138767.1	chr10	87610163	87660003
AL138767.2	chr10	87591607	87606024
AL138767.3	chr10	87607985	87659279
AL138773.1	chr10	9292842	9309772
AL138778.1	chr1	193457422	193465198
AL138781.1	chr9	136122521	136124363
AL138787.2	chr1	35992109	36013630
AL138789.1	chr1	68479129	68483539
AL138799.2	chr1	81505099	81506296
AL138799.4	chr1	81513880	81557702
AL138808.1	chr20	14933843	14935363
AL138812.1	chr11	35656694	35661339
AL138820.1	chr13	32782874	32788178
AL138824.1	chr6	17586899	17600191
AL138826.1	chr6	50093389	50181007
AL138828.1	chr6	135991936	136225751
AL138830.1	chr6	114523443	114545335
AL138830.2	chr6	114477350	114488752
AL138831.1	chr6	4018843	4021215
AL138831.2	chr6	4018713	4019202
AL138885.2	chr6	10423140	10426176
AL138885.3	chr6	10404502	10407928
AL138885.4	chr6	10426623	10429110
AL138889.1	chr6	33891327	33927631
AL138889.3	chr6	33800142	33802960
AL138895.1	chr9	114396724	114398503
AL138899.1	chr1	158197922	158203877
AL138900.1	chr1	157232231	157237136
AL138916.1	chr6	146854983	146863460
AL138916.2	chr6	146948528	146951159
AL138918.1	chr6	168374697	168375355
AL138921.1	chr10	100229629	100234398
AL138921.2	chr10	100190036	100190747
AL138927.1	chr1	190878145	191151410
AL138930.1	chr1	160537073	160571458
AL138954.1	chr13	105410816	105414224
AL138955.1	chr13	95744726	95745765
AL138957.1	chr13	78275720	78277514
AL138960.1	chr13	44369365	44369877
AL138962.1	chr13	47825330	47835956
AL138963.1	chr13	45350323	45351350
AL138963.4	chr13	45340039	45341183
AL138966.2	chr13	26222191	26222654
AL138976.2	chr14	103331674	103332367
AL138995.1	chr14	56117316	56117990
AL138997.1	chr13	56051034	56054397
AL138999.1	chr13	33336216	33336716
AL138999.2	chr13	33335497	33349619
AL139002.1	chr13	77939016	77975539
AL139008.2	chr9	33512959	33514773
AL139011.1	chr1	160261741	160263328
AL139020.1	chr14	95711747	95757656
AL139021.2	chr14	58398557	58427125
AL139021.3	chr14	58370023	58395641
AL139022.1	chr14	65082034	65094212
AL139022.2	chr14	65003325	65003767
AL139023.1	chr14	28318141	28418612
AL139035.1	chr13	99498737	99501250
AL139035.2	chr13	99584014	99590508
AL139039.3	chr6	10511036	10514546
AL139041.1	chr9	112885158	112885767
AL139042.1	chr6	88177804	88442928
AL139081.1	chr13	33657436	33659928
AL139081.2	chr13	33800138	33802853
AL139082.1	chr13	52128891	52132723
AL139089.1	chr13	52651305	52652279
AL139090.1	chr6	88378280	88385447
AL139095.4	chr6	7276031	7298872
AL139095.5	chr6	7258910	7261993
AL139099.2	chr14	49620815	49623480
AL139099.3	chr14	49629291	49629890
AL139106.1	chr6	108441880	108558286
AL139118.1	chr10	94109116	94121107
AL139120.1	chr10	112671812	112677819
AL139123.1	chr10	130104569	130104998
AL139124.1	chr10	94314907	94315327
AL139130.1	chr1	156388226	156395609
AL139142.1	chr1	173555251	173612772
AL139147.1	chr1	66665864	66677027
AL139161.1	chr1	235942553	235943805
AL139193.1	chr14	90675118	90676294
AL139193.2	chr14	90697333	90699374
AL139220.2	chr1	44030437	44115913
AL139230.1	chr13	75375511	75377294
AL139231.1	chr6	23337711	23404132
AL139232.1	chr6	83852312	83854167
AL139234.1	chrX	130165954	130166905
AL139237.1	chr10	43912444	43914236
AL139240.1	chr10	67052609	67055028
AL139241.1	chr10	98252023	98256575
AL139243.1	chr10	98446346	98453805
AL139246.1	chr1	2492300	2493258
AL139246.3	chr1	2581560	2584533
AL139246.4	chr1	2493437	2494479
AL139246.5	chr1	2530064	2547460
AL139254.1	chr1	20412304	20413253
AL139254.2	chr1	20476222	20478937
AL139254.3	chr1	20478779	20480397
AL139260.1	chr1	38859912	38965038
AL139260.2	chr1	38839333	38874494
AL139274.2	chr6	87151159	87155285
AL139275.1	chr6	40358744	40369474
AL139275.2	chr6	40271566	40276237
AL139280.1	chr10	3263346	3267216
AL139280.2	chr10	3296338	3298137
AL139286.2	chr1	35929720	35930115
AL139286.3	chr1	35908980	35910872
AL139287.1	chr1	1317581	1318689
AL139288.1	chr1	228407365	228410870
AL139289.1	chr1	43354684	43358658
AL139289.2	chr1	43348288	43348844
AL139294.1	chr1	65279456	65306521
AL139300.2	chr14	103553421	103561877
AL139316.1	chr14	55196727	55199013
AL139317.1	chr14	52792875	52820034
AL139317.3	chr14	52775237	52777740
AL139317.5	chr14	52791756	52930185
AL139330.1	chr6	158000109	158000749
AL139339.1	chr10	103452846	103462695
AL139339.2	chr10	103450196	103450852
AL139340.1	chr10	90059061	90099083
AL139348.1	chr20	60812004	60814211
AL139349.1	chr20	58710795	58711633
AL139350.1	chr20	4422186	4431732
AL139351.1	chr20	48073869	48074188
AL139351.2	chr20	48007875	48022237
AL139351.3	chr20	48025245	48060271
AL139352.1	chr20	44656451	44696096
AL139353.2	chr14	31420286	31452883
AL139354.1	chr14	45567995	45569069
AL139379.1	chr13	106232131	106371082
AL139381.1	chr13	94960771	95007420
AL139383.1	chr13	33355206	33676796
AL139384.1	chr13	112686769	112689815
AL139384.2	chr13	112602828	112606417
AL139385.1	chr13	110613082	110616353
AL139390.1	chr6	6993191	6995727
AL139393.1	chr6	160931080	160985624
AL139393.2	chr6	160926269	160943110
AL139393.3	chr6	160990318	160992342
AL139397.1	chrX	56973510	56974796
AL139398.1	chrX	70427450	70435350
AL139405.2	chr10	14372001	14377586
AL139407.1	chr10	118692361	118693535
AL139420.1	chr1	119000344	119001392
AL139420.2	chr1	119000618	119001405
AL139423.1	chr1	10639241	10654333
AL139423.2	chr1	10612222	10616452
AL139424.1	chr1	10429881	10430677
AL139424.2	chr1	10395416	10397432
AL139424.3	chr1	10381906	10387150
AL139801.1	chr13	46290300	46298110
AL139807.1	chr6	11173452	11259099
AL139811.3	chrX	46400686	46402957
AL139815.1	chr10	22964926	23133804
AL139819.1	chr10	100335563	100346390
AL139823.1	chr1	5301928	5307394
AL139824.1	chr20	56295967	56299160
AL157359.1	chr21	18953264	18967058
AL157359.2	chr21	18917934	18935859
AL157369.1	chr13	47946053	47956830
AL157371.1	chr6	43851757	43852333
AL157371.2	chr6	43803193	43842625
AL157373.1	chr6	11990338	12001286
AL157373.2	chr6	12007670	12008856
AL157378.1	chr6	94163920	94194658
AL157385.2	chr10	24816331	24822950
AL157387.1	chr10	37240887	37242049
AL157388.1	chr10	118784563	119029544
AL157392.1	chr10	13710415	13712054
AL157392.2	chr10	13729383	13756200
AL157392.3	chr10	13631143	13668445
AL157392.4	chr10	13675646	13675990
AL157394.1	chr10	89015836	89017059
AL157394.3	chr10	88990045	88994249
AL157395.1	chr10	6197612	6202693
AL157396.1	chr10	93762453	93771991
AL157400.1	chr10	89646289	89650822
AL157400.2	chr10	89645272	89652144
AL157400.3	chr10	89667181	89701274
AL157400.4	chr10	89694295	89697928
AL157402.1	chr1	198597724	198598868
AL157402.2	chr1	198657553	198667061
AL157413.1	chr20	24491472	24502345
AL157414.1	chr20	57110640	57122745
AL157414.2	chr20	57105741	57107128
AL157414.4	chr20	57116566	57119543
AL157688.1	chr14	87323753	87332390
AL157700.1	chrX	68013470	68014901
AL157702.2	chr9	113650956	113682855
AL157703.1	chr9	7304551	7343556
AL157709.1	chr10	743992	744958
AL157756.1	chr14	60240121	60248765
AL157762.1	chr13	108267320	108267734
AL157769.1	chr13	102760023	102766653
AL157778.1	chrX	98450688	98892061
AL157786.1	chr10	112395813	112425589
AL157813.1	chr13	48532013	48532599
AL157813.2	chr13	48531800	48556358
AL157817.1	chr13	51180178	51180967
AL157823.2	chr6	35733867	35736947
AL157827.2	chr9	92600094	92612368
AL157829.1	chr9	116838144	116877264
AL157831.2	chr10	22218074	22221168
AL157831.3	chr10	22230826	22232973
AL157832.1	chr10	129768844	129769435
AL157832.2	chr10	129693722	129702117
AL157834.1	chr10	95109136	95111642
AL157834.2	chr10	95228243	95231144
AL157834.4	chr10	95141925	95168425
AL157838.1	chr20	53552770	53575863
AL157871.1	chr14	100291117	100294656
AL157871.2	chr14	100339832	100340554
AL157871.4	chr14	100333790	100354061
AL157871.5	chr14	100263781	100265405
AL157871.6	chr14	100279959	100291456
AL157882.1	chr9	85756042	85765112
AL157884.2	chr9	32840598	32841762
AL157886.1	chr9	84316514	84657077
AL157888.1	chr10	125162379	125162971
AL157893.2	chr10	87203717	87206615
AL157895.2	chr10	19710328	19728550
AL157896.1	chr10	14074284	14087605
AL157902.1	chr1	117596832	117605770
AL157904.1	chr1	116909149	116909531
AL157911.1	chr14	59969116	60091783
AL157912.1	chr14	100052803	100074878
AL157931.1	chr13	22918591	22924602
AL157931.2	chr13	22931537	22931999
AL157932.1	chr13	42043727	42044247
AL157935.2	chr9	127934503	127940952
AL157936.1	chr9	94725871	94726575
AL157937.1	chr9	22203990	22214672
AL157938.2	chr9	131132852	131167505
AL157938.3	chr9	131189910	131194205
AL157938.4	chr9	131283421	131288278
AL157944.1	chr1	82212413	82848205
AL157955.1	chr14	88010787	88015611
AL157996.2	chr14	69479057	69483714
AL157997.2	chr14	66248811	66278875
AL158011.2	chr1	184080657	184149652
AL158013.1	chr20	21397740	21400391
AL158038.1	chr13	65941073	65973699
AL158042.1	chr20	11001304	11001763
AL158055.1	chrX	51395959	51465661
AL158058.1	chr14	29390074	29436412
AL158058.2	chr14	29415856	29500460
AL158063.1	chr13	102593338	102593873
AL158064.1	chr13	79941531	80074640
AL158065.1	chr13	31049715	31053250
AL158066.1	chr13	52167709	52291557
AL158068.2	chr4	2295584	2319089
AL158069.1	chrX	69569635	69576337
AL158070.1	chr9	105554035	105558304
AL158071.1	chr9	91118592	91182762
AL158071.3	chr9	91104327	91213046
AL158071.4	chr9	91077138	91163087
AL158071.5	chr9	91206175	91210299
AL158077.2	chr9	19789179	19894856
AL158090.1	chr20	24297585	24318086
AL158136.1	chr6	90073051	90079734
AL158141.1	chrX	70037840	70039325
AL158147.1	chr9	4850299	4850373
AL158151.1	chr9	129176771	129210548
AL158151.2	chr9	129097854	129100266
AL158151.3	chr9	129175807	129177575
AL158151.4	chr9	129170434	129170940
AL158154.2	chr9	81928021	81931368
AL158154.3	chr9	81930226	81977089
AL158163.1	chr10	110910596	110912244
AL158163.2	chr10	110907483	110908182
AL158166.1	chr10	127934698	127936167
AL158166.2	chr10	127929376	127934517
AL158167.1	chr10	29373027	29409366
AL158168.1	chr10	14652689	14661691
AL158175.1	chr20	22684958	22746991
AL158195.1	chr13	50372788	50387158
AL158196.1	chr13	48041751	48042184
AL158198.1	chr6	20212087	20317739
AL158198.2	chr6	20265720	20307200
AL158206.1	chr9	19453209	19455173
AL158207.2	chr9	129933536	129936541
AL158210.1	chr10	6682513	6823789
AL158211.1	chr10	22257786	22258548
AL158211.2	chr10	22332587	22332981
AL158211.3	chr10	22340377	22340615
AL158211.4	chr10	22332404	22332987
AL158212.1	chr10	112888735	112906111
AL158212.2	chr10	112950646	112951875
AL158212.3	chr10	112823490	112827726
AL158212.5	chr10	112810031	112821838
AL158214.2	chr1	230692533	230696888
AL158216.1	chr1	42036143	42051784
AL158800.1	chr14	97180525	97217778
AL158801.2	chr14	55262222	55272075
AL158801.3	chr14	55325834	55339501
AL158817.1	chr6	6901022	6918715
AL158825.2	chr9	75009828	75016036
AL158828.1	chr9	86414201	86488607
AL158829.1	chr9	109760360	109772043
AL158832.1	chr9	267966	273002
AL158832.2	chr9	197065	209554
AL158834.1	chr10	32281686	32282829
AL158834.2	chr10	32266289	32269474
AL158835.1	chr10	125683229	125709677
AL158835.2	chr10	125718771	125719365
AL158835.3	chr10	125707416	125749525
AL158837.1	chr1	167052551	167058542
AL158847.1	chr1	109725820	109775252
AL158850.1	chr6	139159157	139277181
AL159156.1	chr13	59121879	59230636
AL159158.1	chr13	77417821	77422847
AL159166.1	chr6	4341756	4347162
AL159169.2	chr9	14588797	14590065
AL159169.3	chr9	14586766	14587326
AL159174.1	chr6	89560875	89567044
AL159972.1	chr13	73844683	73845130
AL159978.1	chr13	26685640	26698804
AL159990.1	chr9	70726040	70730856
AL159990.2	chr9	70708047	70712863
AL159996.1	chr9	86751297	86758347
AL160004.1	chr1	229440284	229441020
AL160006.1	chr1	110058340	110062555
AL160035.1	chr13	26965967	26991996
AL160153.1	chr13	101717564	101723106
AL160154.1	chr13	85144623	85148121
AL160159.1	chr13	93309669	93311063
AL160163.2	chr6	41868622	41869731
AL160171.1	chr1	108661533	108666246
AL160191.1	chr14	70187123	70230187
AL160236.2	chr14	60879714	60982585
AL160237.1	chr14	23699797	23729757
AL160254.1	chr13	67121081	67156624
AL160262.1	chr6	70222758	70242156
AL160270.1	chr9	34521527	34524241
AL160271.2	chr9	131816192	131820988
AL160272.1	chr9	117759455	117879988
AL160286.2	chr1	179590372	179591305
AL160286.3	chr1	179543201	179548922
AL160290.1	chr10	123425713	123427640
AL160291.1	chr10	27243130	27250804
AL160313.2	chr14	99604556	99625740
AL160313.3	chr14	99691445	99693648
AL160314.2	chr14	22701476	22766562
AL160391.1	chr13	70137831	70139431
AL160396.1	chr13	114175485	114215835
AL160396.2	chr13	114275326	114277323
AL160400.1	chr6	25012985	25015696
AL160408.1	chr1	234646289	234683176
AL160408.2	chr1	234607008	234609483
AL160408.3	chr1	234669523	234696153
AL160408.4	chr1	234660271	234667104
AL160408.5	chr1	234644666	234647571
AL160408.6	chr1	234709383	234720220
AL160410.1	chr20	59395496	59397109
AL160411.2	chr20	18059493	18071008
AL160412.1	chr20	61432868	61437630
AL160413.1	chr20	55504906	55505215
AL161421.1	chr13	48974967	48976867
AL161430.1	chr13	97278768	97295400
AL161431.1	chr13	109269634	109278512
AL161443.1	chr9	7177577	7203458
AL161447.2	chr9	86127507	86128703
AL161449.2	chr9	12958503	13034326
AL161452.1	chr9	135503273	135506447
AL161457.1	chr9	68426843	68429369
AL161457.2	chr9	68393881	68406500
AL161616.2	chr13	31419989	31437999
AL161618.1	chr6	46758296	46761158
AL161628.1	chr9	23826491	23828877
AL161629.1	chr9	89825964	90019549
AL161630.1	chr9	117643151	117657032
AL161636.1	chr1	153174518	153191676
AL161638.1	chr1	30415825	30421108
AL161638.2	chr1	30409560	30411638
AL161640.2	chr1	234565298	234570088
AL161640.3	chr1	234535963	234539054
AL161640.4	chr1	234550542	234554838
AL161644.1	chr1	54285405	54287371
AL161645.1	chr10	133526259	133527513
AL161645.2	chr10	133541809	133542575
AL161646.1	chr10	104566931	104624795
AL161652.1	chr10	92423386	92427620
AL161662.1	chr14	90291516	90294942
AL161663.1	chr14	24861172	24865978
AL161663.2	chr14	24818385	24820157
AL161665.1	chr14	32149176	32158008
AL161665.2	chr14	32200433	32201736
AL161668.1	chr14	21108043	21116703
AL161668.2	chr14	21032818	21033895
AL161668.3	chr14	20995837	21014822
AL161668.4	chr14	21024172	21029271
AL161669.1	chr14	103094723	103098885
AL161669.3	chr14	103208100	103208876
AL161714.1	chr13	43607313	43629464
AL161716.1	chr13	34545929	34696612
AL161717.1	chr13	76664144	76693051
AL161719.1	chr13	33610967	33611522
AL161725.1	chr9	452492	492248
AL161725.2	chr9	487774	495610
AL161729.1	chr9	95506235	95507636
AL161729.2	chr9	95494924	95495379
AL161729.3	chr9	95406990	95407662
AL161729.4	chr9	95514045	95514520
AL161731.1	chr9	126701173	126704691
AL161733.1	chr9	130933851	130945520
AL161734.1	chr1	181812705	181813261
AL161734.2	chr1	181808927	181812495
AL161740.1	chr1	56963886	56996757
AL161747.2	chr14	21521083	21522660
AL161752.1	chr14	44392531	44393716
AL161753.1	chr14	86283243	86304863
AL161756.1	chr14	64329431	64338639
AL161756.3	chr14	64349677	64352284
AL161757.2	chr14	56633244	56648658
AL161757.3	chr14	56759379	56765757
AL161757.4	chr14	56817570	56893710
AL161757.5	chr14	56648965	56730535
AL161772.1	chr13	20699307	20703718
AL161781.2	chr9	37002697	37008040
AL161782.1	chr9	79975023	79990064
AL161785.1	chr9	129282458	129312665
AL161785.2	chr9	129258354	129259846
AL161785.3	chr9	129259062	129261581
AL161793.1	chr1	204663872	204664613
AL161797.1	chr1	90045998	90047109
AL161804.1	chr14	57578409	57600404
AL161851.1	chr14	33597057	33600989
AL161851.2	chr14	33677360	33682886
AL161891.1	chr13	33846190	33850825
AL161893.1	chr13	30388785	30404967
AL161896.1	chr13	98329655	98333236
AL161908.1	chr9	126589594	126613700
AL161908.2	chr9	126640756	126641293
AL161909.2	chr9	19291337	19292576
AL161910.1	chr9	89563537	89604687
AL161912.1	chr9	79874696	79886678
AL161912.2	chr9	79889001	79892007
AL161935.1	chr10	31602862	31606218
AL161935.3	chr10	31608500	31620862
AL161937.1	chr20	50166362	50171742
AL161938.1	chr20	11685144	11687323
AL161941.1	chr20	16177933	16259603
AL161945.1	chr20	52840936	52843775
AL162151.1	chr14	99158416	99159669
AL162151.3	chr14	98999571	99003545
AL162171.1	chr14	88551597	88552493
AL162171.2	chr14	88499334	88515502
AL162171.3	chr14	88589231	88592408
AL162231.2	chr9	34665607	34681981
AL162231.4	chr9	34661903	34666029
AL162231.5	chr9	34702953	34774466
AL162253.1	chr9	5584490	5588994
AL162253.2	chr9	5457477	5629748
AL162258.1	chr1	153626332	153634340
AL162258.2	chr1	153631438	153634397
AL162274.1	chr10	131980240	131981337
AL162274.2	chr10	131971202	131971533
AL162293.1	chr20	37676889	37683234
AL162311.1	chr14	35873857	35875303
AL162311.3	chr14	35819224	35826765
AL162377.1	chr13	51803838	51813832
AL162384.1	chr9	6047360	6066714
AL162385.1	chr9	97512706	97517836
AL162385.2	chr9	97634515	97636051
AL162386.2	chr9	13274510	13279187
AL162388.2	chr9	29214322	29229229
AL162390.2	chr9	70310875	70312120
AL162391.1	chr9	126286999	126298593
AL162391.2	chr9	126270121	126275918
AL162394.1	chr9	99531507	99583301
AL162399.1	chr1	170587249	170588236
AL162400.1	chr1	63024207	63025658
AL162400.2	chr1	63078081	63079031
AL162400.3	chr1	63011197	63018614
AL162408.1	chr10	11030334	11030868
AL162411.1	chr9	6645956	6670635
AL162412.1	chr9	69672749	69673713
AL162413.1	chr9	10948372	10948481
AL162414.1	chr9	111139246	111284836
AL162419.1	chr9	4299390	4306046
AL162424.1	chr9	122372605	122372825
AL162425.1	chr9	115119539	115138409
AL162426.1	chr9	127690098	127690840
AL162427.1	chr9	99183373	99184891
AL162430.3	chr1	51264916	51266074
AL162431.1	chr1	180944042	180976482
AL162456.1	chr13	91994518	91996523
AL162457.1	chr20	61717506	61719748
AL162457.2	chr20	61738219	61755056
AL162458.1	chr20	45926518	45935055
AL162464.1	chr14	36808871	36828729
AL162464.2	chr14	36788644	36807163
AL162493.1	chr13	84086802	84448603
AL162497.1	chr13	109785831	109808252
AL162511.1	chr14	36213200	36235608
AL162573.1	chr13	89141800	89163186
AL162574.1	chr13	106903150	106904099
AL162574.2	chr13	106773623	106774279
AL162582.1	chr6	160272617	160276130
AL162584.1	chr9	125567579	125573023
AL162585.1	chr9	90921990	90922856
AL162586.1	chr9	127816066	127822520
AL162586.2	chr9	127754534	127760560
AL162591.2	chr1	154480012	154481501
AL162595.1	chr1	229256892	229271242
AL162595.2	chr1	229223457	229242902
AL162632.1	chr14	45377268	45389286
AL162632.3	chr14	45369215	45370839
AL162713.1	chr13	43787591	43787852
AL162713.2	chr13	43786781	43814798
AL162717.1	chr13	103343660	103396450
AL162718.1	chr6	4304942	4583871
AL162718.2	chr6	4449392	4468181
AL162718.3	chr6	4381211	4383597
AL162719.1	chr6	6450356	6507443
AL162724.1	chr9	124262876	124265809
AL162724.2	chr9	124259250	124261156
AL162725.2	chr9	16917511	17114122
AL162726.1	chr9	82405188	82406239
AL162726.4	chr9	82451656	82455225
AL162727.1	chr9	113619228	113622634
AL162727.2	chr9	113570190	113590019
AL162731.1	chr9	41760088	41764175
AL162734.1	chr1	155710098	155710563
AL162741.1	chr1	1249777	1251334
AL162742.1	chr10	104312141	104313881
AL162872.1	chr14	83018201	83039602
AL163051.1	chr14	96500810	96502321
AL163192.1	chr9	27391734	27397563
AL163195.2	chr14	20587644	20607221
AL163534.1	chr13	106753247	106757065
AL163541.1	chr13	109478739	109731700
AL163636.2	chr14	20693480	20707120
AL163872.1	chr14	97662638	97688600
AL163932.1	chr14	98068161	98205143
AL163952.1	chr14	55896443	55962970
AL163953.1	chr14	53599832	53614026
AL163973.2	chr14	31558507	31561334
